0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:20 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:17 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:17 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:18 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:18 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:18 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:18 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:18 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:49 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:50 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1134
